document_id,title,text,url,motorized transport,non-motorized transport,cycling,walking,scooters,public transport (local),public transport (long-distance),commercial transport,stationary traffic (parking),moving traffic,inter- and multimodality,new services
Ott272,Fahrradstr vs Einbahnstr,"Die meisten Einbahnstraßen erlauben Fahrräder in Gegenrichtung - was nicht ganz ungefährlich in engen Straßen und bei unklarer Beschilderung (vor allem in Baustellen Bereichen) ist.
Ich fände es toll wenn die Friedensallee, Bahrenfelderstr und Ottenser Hauptstr, sowie GroßeBrunnenstr innerhalb des roten Bereichs als Fahrrad Straße deklariert werden.
In beide Richtungen.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/272,0,1,1,0,0,0,0,0,0,1,0,0
Ott273,Grosse Brunnenstrasse,"Die Grosse Brunnenstrasse ist in den letzten Jahren immer mehr zu einer Querverbindung zw. Elbchaussee und Barnerstrasse geworden.
Hier wurde der Verkehr bewusst durchgelenkt.
Von der Keplerstrasse, über die Rennbahn in die Gr. Brunnenstrasse, sowie über die Fischer Allee in die Gr. Brunnenstr.
Hunderte Auto donnern tagtäglich über das Kopfsteinpflaster, LKW, Lieferwagen drängen sich durch das Wohngebiet der Gr. Brunnenstr.
Durch das Kopfsteinpflaster entsteht ein unfassbarer Lärm und die Abgasbelastung ist ebenfalls enorm.
Hier würde eine Einbahnstrasse von der Barnerstrasse in Richtung Rennbahn absolut Sinn machen! und zur Beruhigung des Gebiets beitragen.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/273,1,0,0,0,0,0,0,1,0,1,0,0
Ott274,Eulenstrasse Lagerplatz,"Die Straße und somit alle hier vorhandenen Parkmöglichkeiten werden seit geraumer Zeit als Lagerort für Unterschiedliche Baustellenmaterialien genutzt, ohne dass Baustellenfortschritt zu verzeichnen ist.
Es fühlt sich an, als wäre die Straße als Lagerort modernisiert worden
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/274,0,0,0,0,0,0,0,0,0,0,0,0
Ott275,Straßenbahn,"Es fehlt an einer elektrischen Straßenbahn.
Die würde das Auto in der gesamten Stadt überflüssig machen.
Busse sind rückschrittlich.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/275,1,0,0,0,0,1,0,0,0,1,0,0
Ott276,Hygiene des Hundepark am Kemal Altun Platz,"Möglichkeit den Boden des Hundeparks umzuwälzen bzw. abzutragen und neu aufzuschütten.
Hundepark riecht vor allem nach längeren Trockenperioden sehr unangenehm
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/276,0,0,0,0,0,0,0,0,0,0,0,0
Ott277,Anwohnerparken,"Das Parken auf allen Flächen sollten den Anwohnern an Feier- und Sonntagen gestattet sein.
Auch sollte dies für Besucherparkausweise gelten.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/277,1,0,0,0,0,0,0,0,1,0,0,0
Ott278,Fahrradweg Bahrenfelder str.,"Aktuell wird der Fahrrad weg erst über eine Kopfsteinpflasterstraße geführt die stark Sanierungsbedürftig ist.
An der Kreuzung Ottensener Hauptstraße können Fahrradreifen schon in den Fugen stecken bleiben und bilden somit eine große Sturzgefahr.
Danach wird der Radweg über eine geteilte Fläche mit Fußgänger geleitet.
Hier ist definitiv zu wenig Platz da angrenzende Bars den Platz bis zum Radweg nutzen und somit Fußgänger auf den Radweg gehen müssen.
Beim abfahren in Richtung Spritzenplatz stehen meistens Autos im Halteverbot oder LKW's die gerade entladen.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/278,1,1,1,1,0,0,0,1,1,1,0,0
Ott279,Bernadottestraße autofreier machen,"Seit etlichen Monaten gilt ein Linksabbiegerverbot vom Hohenzollernring in die Bernadottestraße.
Dennoch kürzen ständig Autos hier ab, anstatt über die Elbchaussee zu fahren.
So passieren regelmäßig Unfälle, knappe Situationen an der Kreuzung an sich aber auch herrscht viel mehr Verkehr in der Bernadottestr.
Die Polizei kontrolliert ab und an der Kreuzung, ich glaube aber dass da noch meh gehen kann.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/279,1,0,0,0,0,0,0,0,0,1,0,0
Ott280,"Alma Wartenberg platz - Busse, Rad, Bars","Der Alma Wartenberg platz bringt aktuell allen nur Frust.
Der Busfahrer der mal wieder mit 40 Sachen durch ""Bordsteintrinker"" fährt und dabei den entgegenkommenden Radfahrer die Vorfahrt nimmt.
Problem ist hier das von vielen Seiten viele Autos kommen und die Beschilderung der Vorfahrt etc nicht mehr aktuell ist.
Dieses Bild sollte entzerrt werden und ein Konzept ausgearbeitet werden wie alle miteinander dort auskommen können.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/280,1,1,1,0,0,1,0,0,0,1,0,0
Ott281,Radverkehr,"Ich wünsche mir mehr Platz zum Abstellen von Rädern, ""glattes"" Kopfsteinpflaster oder glatten Straßenbelag, mehr Sicherheit durch geringere Geschwindigkeiten von Autos
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/281,1,1,1,0,0,0,0,0,1,1,0,0
Ott282,Liefer/Service Verkehr,"Ich wünsche mir spezifische Lade- und Haltezonen für Lieferverkehr/Services (Pflegedienste, Pakete, Handwerker).
Dort sollten keine Privatpersonen halten dürfen
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/282,1,0,0,0,0,0,0,1,1,0,0,0
Ott283,Bitte versöhnen und nicht spalten,"Ja, ich weiß: Es geht bei diesem Projekt vor allem um Autohass.
Aber es gibt Mensch, die brauchen ein Auto.
Und diese Menschen müssen ihren Wagen irgendwo unterstellen.
Parkhaus Mercado für 3.- Euro am Tag ist ein erster guter Schritt, allerdings ist es überfüllt.
Parkhaus Bahnhof Altona ist keine Option, da vollgekackt.
Wenn Sie schon Autos aussperren, sollten Sie auch Möglichkeiten schaffen, den Wagen zu überschaubaren Konditionen sicher und würdig zu parken.
Als Fußgänger (mit Hund), Radfahrer und Autofahrer wünsche ich mir eins: Radfahrer, haltet Euch bitte an die Spielregeln, fahrt NICHT durch die Fußgängerzone.
Weil das freiwillig nicht passieren wird, wünsche ich mir schärfere Kontrollen durch die Ordnungsbehörden.
Und von Ihnen: Bitte spaltet diese Gesellschaft nicht in gute Menschen und Autofahrer!
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/283,1,1,1,1,0,0,0,0,1,1,0,0
Ott284,Fahrrad,"Ja alle wollen Autofreiezone in Ottensen.
Ich finde eher sollte sich Mann frage stellen, ob das was Fahrradfahrer sich in Ottensen erlauben gut ist, besonders in der Ottensener Hauptstraße.
Ja wir sind alle Verkehrsteilnehmer aber Fahrradfahrer erlauben sich alles.
Ich bin ehr dafür das mann Ottensen fahrrad und Autofreie zone sein soll, nicht desto trotz sollen die Einwohner deren Autos frei nutzen können in Ottensen egal in welcher Form und Tages Zeit mit angepassten Geschwindigkeit und den Fahrradfahre sollte mann verbieten die Einbahnstraße in gegen richtung zu Fahren mit richtigen Bestrafung von 50 euro.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/284,1,1,1,0,0,0,0,0,0,1,0,0
Ott285,Rasen und Pöbeln in der Engstelle der Erdmannstraße,"Auf einem Stück der Erdmannstraße zur Großen Brunnenstraße hin ist per Auto kein Entgegenkommen möglich.
Was passiert?
Autos fahren von beiden Seiten möglichst schnell um dann ""schon weiter drin"" zu sein in der Engstelle als das entgegenkommende Fahrzeug.
Was dann oft folgt ist oft aussteigen und pöbeln unter Androhung von Handgreiflichkeiten.
Wenn dann Richtung Große Brunnenstraße zurückgesetzt wird, passiert dies oft durch zugeparkte Straßenecken halb blind in den sich stauenden Verkehr in die Große Brunnenstraße hinein.
Dazwischen kreuzen dann nicht wenige zu Fuß gehende und Radfahrende die Erdmannstraße an der Ecke Brunnenstraße.
Vorschlag wäre eine Einbahnstraßenregelung in Richtung Am Born - Große Brunnenstraße.
Tut m.E. keinem weh und würde einige Probleme lösen.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/285,1,0,0,0,0,0,0,0,0,1,0,0
Ott286,Anwohnerparken,"Eine Erhöhung der Kosten für Anwohner kam rasch ... auch, dass das Besucherparken nun auch Geld kostest, ist für uns Anwohner nicht fair.
Bis dato habe ich als Anwohner noch keinen Vorteil dieses Projektes vernommen; im Gegenteil: Es ist alles beschwerlicher und vor Allem nun mit Kosten verbunden!
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/286,1,0,0,0,0,0,0,0,1,0,0,0
Ott287,Keine Parkplatz Vernichtung,"Es muß aufhören mit der Parkplatzvenichtung in Ottensen.
Durch die blöde Welorute wurden schon diverse Parkplätze vernichtet.
Die Radfahrer in Ottensen halten sich überwiegend an keine Verkehrsregeln.
Fahren auf Bürgersteigen und durch Fußgängerzohnen und keiner unternimmt was !!!!
Auch nicht die Polizei.
Aber die Autofahrer sollen raus aus Ottensen.
Das paßt garnicht.
Wenn ihr kein Autoverkehr wollt dann zieht wieder aufs Land wo ihr herkommt.
Wohne seit meiner geburt in Ottensen und muß erschreckend feststellen das die Grünen alles vernichten wollen!
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/287,1,1,1,0,0,0,0,0,1,1,0,0
Ott288,alte Fahrräder,"Ich wünsche mit das regelmäßige (ca. alle 6 Monate) Entfernen alter vergessener angeschlossener Fahrräder.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/288,0,1,1,0,0,0,0,0,1,0,0,0
Ott289,Angstraum - Für Räder in Gegenrichtung freigegebene Einbahnstraßen,"Wie lässt sich das mit den in Gegenrichtung für Radfahrende freigegebene Einbahnstraßen bloß besser verständlich machen?
Im Auto sitzend erschrecke ich mich am meisten über Radfahrer ohne Licht, die im Dunkeln schwarz gekleidet plötzlich wie aus dem Nichts auftauchen.
Dann denke ich verdammt, ist Euch Euer Leben so wenig wert.
Dabei sitze ich allerdings gut geschützt im Auto.
Auf dem Fahrrad fühle ich mich dagegen wirklich bedroht, wenn mal wieder ein Auto in belehrender Weise voll auf mich am rechten Straßenrand zuhält, weil der Fahrer oder die Fahrerin noch nicht verstanden hat, dass die Einbahnstraße für mich auf dem Rad in Gegenrichtung freigegeben ist.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/289,1,1,1,0,0,0,0,0,0,1,0,0
Ott290,Lieferverkehr behindert,"u.A. am Spritzenplatz stehen sich morgens die Liefer-PKWs und -LKWs regelrecht gegenseitig auf den Füßen, äh Rädern - und das mitten auf dem Platz, der nur für Fuß- und Radverkehr vorgesehen ist.
Bei heruntergelassener Laderampe - oder noch schlimmer auf 1m Höhe der Laderampe ist ein sicheres Vorankommen insbesondere für junge Radfahranfänger*innen nicht gewährleistet.
Warum gibt es nicht ausreichend Lieferparkplätze?
Noch besser: Lieferplätze für Lastenräder.
fun fact: An der Ecke Klausstr/Bahrenfelder gibt es einen Lieferparkplatz - welcher regelmäßig zugeparkt ist und der zum Gemüseladen gehörige Lieferwagen dann halb in der Kreuzung parkt.
Warum wird vom lbv nicht noch mehr kontrolliert bzw. abgeschleppt?
Kontrolliert der lbv überhaupt die Lieferparkplätze?
Warum werden nur die bewirtschafteten Parkplätze kontrolliert?
Für die Sicherheit der Verkehrsteilnehmenden ist es unerheblich, ob der Stellplatz etwas kostet oder nicht.
Kann hier an die Verkehrsbehörde Druck gemacht werden?
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/290,1,1,1,0,0,0,0,1,1,1,0,0
Ott291,Fahrrad Parkhaus,"Für ein Autoarmes Quartier benötigt Ottensen aus meiner Sicht auch sichere und geschützte  Parkplätze für Fahrräder bspw Fahrrad Parkhäuser.
Viele Häuser bieten keinen adäquaten Parkraum für Fahrräder, parkende Fahrräder am Straßenrand sind auch nicht viel hübscher als Autos und es ist jeden Morgen eine Überraschung, ob das gute Stück noch da und fahrtüchtig ist.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/291,0,1,1,0,0,0,0,0,1,0,0,0
Ott292,Stangestrasse 8,"Der Bürgersteig in der Stangestraße ist zu schmal, RollstuhlfahrerInnen können hier kaum durch, dieser sollte verbreitert werden und die Stangestraße sollte keine Durchfahrts- bzw. Parrkplatzsuchstraße mehr sein, dies ist unnötig.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/292,1,1,0,1,0,0,0,0,0,1,0,0
Ott293,Fahhradparkplätze,"Holstentwiete ab Hausnummer 1 aufsteigend auf Seite der ungeraden Hausnummern: Die Anschließmöglichkeiten für Räder sind so konstruiert, dass der Straße keinerlei Platz genommen wird (dabei gehören Räder genauso zum Verkehr - in Ottensen sogar primär.) und die Räder sogar effektiv den Fußweg schmälern.
Völlig unsinnige Konstruktion, die auf die Straße verlagert werden sollte.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/293,0,1,1,0,0,0,0,0,1,0,0,0
Ott294,Freiraum auch ansprechend gestalten,"wenn der Freiraum durch die Ottenser genutzt werden soll, muss er  - barrierefrei zugänglich und nutzbar sein (z.B. geeigneter Bodenbelag),  - sauber (gute Reinigung und Müllbehälter, aber vor allem auch ausreichend geplante öffentliche WC (Vermeidung von Tür- und Buschpinkler etc.)) - sicher, und  - attraktiv gestaltet (Begrünung, Bewegungs- und Sitzgelegenheiten) sein
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/294,0,1,0,1,0,0,0,0,0,1,0,0
Ott295,Schwellen auf Straße,"In der Zeißstraße gab es mal Schwellen.
Nachdem die Straße saniert wurde, wurden diese entfernt.
Nun kann - und wird z.T. auch - durch diese schöne kleine Straße wieder gerast werden, was der ein oder andere auch gelegentlich tut - da ja das Auto so keinen Schaden nimmt.
Pro Wiederherstellung der Schwellen!
Side fact: Es wurde mal ein Kind (vom PKW) überfahren - bevor die Schwellen verbaut worden waren.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/295,1,0,0,0,0,0,0,0,0,1,0,0
Ott296,Schwellen auf die Straßen - und nicht zu gering,"Für die Verkehrsberuhigung und für die Sicherheit Schwellen auf die Straßen - und zwar nicht zu knapp.
Ottensen ist eng und klein - es leben viel Kinder hier und die Mehrheit fährt Rad oder geht zu Fuß.
Da sollte - wenn der PKW überhaupt genutzt wird eigentlich Schrittgeschwindigkeit flächendeckend sein.
In Bilbao ist das wunderbar umgesetzt.
Sowieso lohnt ein Blick in manche Ecken Spaniens für Innovationen (Stichwort Tempo 30 flächendeckend innerorts).
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/296,1,0,0,0,0,0,0,0,0,1,0,0
Ott297,Schranke durch Grünzone ersetzen,"Die Schranke, die den Verkehr in der Fischers Allee beruhigen soll, wird leider immer wieder geöffnet.
Die Schranke könnte z.B. durch Blumenkübel oder Bäume ersetzt werden.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/297,1,0,0,0,0,0,0,0,0,1,0,0
Ott298,Durchgangsverkehr in Ottensen verhinder,"Mit einem Einbahnstraßensystem, Verkehrslenkung den Durchgangsverkehr im Großraum Ottensen (über die Planungsstraßen hinaus) unterbinden.
Busverkehr ermöglichen durch den Einsatz von versenkbaren Pollern
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/298,1,0,0,0,0,1,0,0,0,1,0,0
Ott299,Versiegelung,"Seit Jahren weise ich immer wieder darauf hin, dass in Hamburg, in Ottensen zu viel Fläche versiegelt wird.
Aktuell auch jetzt beim Anlegen der Fahrradstrecken.
Spielplätze, Parks und an den Straßen längst ist viel zu massiv versiegelt.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/299,0,0,0,0,0,0,0,0,0,0,0,0
Ott300,Aufenthaltsflächen für Bewohner*innen und nicht nur für die Gastro!,"Es sollte viel mehr Platz geschaffen werden, damit wir uns auf den Bürgersteigen unterhalten oder uns irgendwo hinsetzen können.
Gerade in der Bahrenfelder Str. zwischen Klausstr. und Spritzenplatz, der Ottenser Hauptstr. und dem Alma-Wartenberg-Platz besetzt Gastronomie den öffentlichen Raum, sodass ein Aufenthalt ohne Konsum immer schwerer und ungemütlicher wird.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/300,0,0,0,0,0,0,0,0,0,0,0,0
Ott301,Latte Macchiato Strich,"Als Fußgänger:in ob Alleine, mit schwerem Gepäck, Kinderwagen, Rollstuhl oder Einkaufswagen wird es immer schwerer durch die Ottenser Hauptstraße und die Bahrenfelderstr. zu kommen.
Auf immer mehr Fläche werden die Leute VERDRÄNGT und/oder zum Konsum gezwungen.
Und das bereits jetzt - ein Autoarmer Stadtteil muss für Fußgänger da sein und zum Verweilen ohne Konsumzwang.
Alle 70-80 Meter Sitzbänke zum Konsumfreien verweilen !!!!!
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/301,0,1,0,1,0,0,0,0,0,1,0,0
Ott302,Busse im Ortskern,"Weshalb muss es in einem der schmalsten und engsten Stadtteile Busverkehr geben?
explizit: hohenesch, Bahrenfelderstrasse ecke Alma-Wartenberg-Platz, kleine Rainstrasse, grosse rainstrasse.
die Busfahrer müssen angst haben, im Aurel den Leuten die fuße abzufahren u d ganz ehrlich: wer bei Aldi einsteigt, kann das auch in der barnerstrasse tun.
hohenesch-fahrgäste am bhf altona.
ganz abgesehen davon ist es unglaublich laut und schmutzig für die Anwohner, Busse sind eine echte Belastung für geist und Körper und tragen on top nichts zum Stadtbild Ottensen bei
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/302,1,0,0,0,0,1,0,0,0,1,0,0
Ott303,Motorradleichen Hohenesch,"Immer wieder werden von einer Hinterhofwerkstatt in Hohenesch Mopeds, Roller und andere Zweiräder, die motorisiert sind, auf Hohenesch und umliegende Strassen verteilt.
das ist nicht nur unsozial den Anwohnern gegenüber, da die Zweiräder Stell-und Parkflächen nutzen.
es sieht einfach nicht schön aus.
Bitte endlich dafür sorgen, dass das aufhört.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/303,1,1,0,0,1,0,0,0,1,0,0,0
Ott304,30er Zone Hohenesch,"Die Strasse Hohenesch – meiner Meinung nach nicht für Busse geeignet – könnte wunderbar verkehrsberuhigt werden.
hier wird generell und vor allem nachts laut und zu schnell gefahren.
eine Tempokontrolle findet nie statt.
mein Vorschlag: 30er Zone und nachts deutlich beruhigter.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/304,1,0,0,0,0,1,0,0,0,1,0,0
Ott305,Ansichtssache,"Ich habe nun das gesamte Vorspiel incl. der teils ganz informativen Onlineveranstaltung mitgemacht und immer noch kein konkretes Bild vor Augen, wie denn eine der projektierten Straßen am Ende aussehen soll.
Bleibt die Straße?
Wird sie zur Grünfläche mit Parkbänken und Fuß/Fahrradwegen?
Wie funktioniert dann die Zuwegung für Rettungsdienste, Feuerwehr und Lieferverkehr?
Man findet eigentlich nur Bilder der ""Ottensen macht Platz""-Aktion oder Fotos von auf Kopfsteinpflaster spazierenden Menschen.
Dabei soll es ja hoffentlich nicht bleiben.
Hier muss es doch mittlerweile so etwas wie Projektskizzen, Exposés, Architekturplanung geben.
Der gesamte ""Fahrplan"" (ist das eigentlich ein absichtliches Wortspiel?) wirkt sehr vage und unkonkret, das fördert nicht unbedingt Vertrauen und macht die ganze Sache schwer greifbar.
Als Anwohner einer der umzuwidmenden Straßen wäre das allmählich ganz interessant...vielleicht können Sie die Seite ja mal mit etwas Projektbildmaterial ergänzen...
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/305,0,0,0,0,0,0,0,0,0,0,0,0
Ott306,Barrierefreiheit auf allen Bewegungsflächen,"Geh- und Bewegungsflächen für Fußgänger:innen müssen barrierefrei und rollator-/rollstuhlgerecht ausgelegt werden
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/306,0,1,0,1,0,0,0,0,0,1,0,0
Ott307,Zufahrt zu Anwohner-Garagen sichern &amp; sichtbar machen,"Die Zufahrt mit dem Auto zu den auf der Bahrenfelder Str. liegenden Tiefgaragen (z.B. Hausnr. 130-132) muss für Anwohner weiterhin problemlos möglich sein.
Dass Anwohner berechtigt sind, auch im beruhigten Bereich mit dem Auto in/aus den Garagen zu fahren, sollte durch Schilder oder Beschriftungen auf der Straße ersichtlich sein - auch für die Fußgänger und Radfahrer.
Beim Probelauf 2019/20 wurden wir leider oft von Fußgängern/Radfahrern beschimpft, blockiert, Nachbar-Autos wurden mit Tomaten beworfen.
Wenn für alle sichtbar u. transparent ist, wer den Raum wie nutzen darf - und dass Anwohnerverkehr zu Garagen/Stellplätzen erlaubt ist, gehen alle hoffentlich rücksichtsvoller miteinander um.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/307,1,0,0,0,0,0,0,0,0,1,0,0
Ott308,öffentliche WC auf allen Plätzen/Treffpunkten,"auf allen Plätzen, an den die Zusammenkunft und der Aufenthalt vieler Menschen gewünscht ist, sollten in vernünftiger Entfernung öffentliche WC installiert werden und erreichbar sein.
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/308,0,0,0,0,0,0,0,0,0,0,0,0
Ott309,"Plan für ""Restverkehr""","Als motorisierter und in einer der Tiefgaragen am Spritzenplatz parkender Pendler vermisse ich ein belastbares Konzept für den verbleibenden Anwohner-PKW-Verkehr.
Wie wird die Befahrbarkeit der umgewidmeten Gebiete geregelt werden?
Tageszeitabhängig?
Ausnahmeregelungen i.S. Bestandsschutz?
Fällt diese in einzelnen Straßen komplett weg?
",https://freiraumottensen.beteiligung.hamburg/dipas/#/contribution/309,1,0,0,0,0,0,0,0,0,1,0,0
